player_id,rank,player_name,age,club,league,nationality,position,preffered_foot,height_(in cm),weight_(in kg),alt_position,ovr,pac,pac+-,sho,sho+-,pas,pas+-,dri,dri+-,def,def+-,phy,phy+-
231747,1,Kylian Mbappé,25.0,Real Madrid,LALIGA EA SPORTS,france,ST,Right,182,75,['LW'],91,97,0,90,0,80,0,92,0,36,0,78,0
231866,2,Rodri,28.0,Manchester City,Premier League,Spain,CDM,Right,191,82,['CM'],91,66,8,80,7,86,6,84,4,87,2,85,1
239085,4,Erling Haaland,24.0,Manchester City,Premier League,Norway,ST,Left,195,94,,91,88,-1,92,-1,70,4,81,1,45,0,88,0
252371,5,Jude Bellingham,21.0,Real Madrid,LALIGA EA SPORTS,england,CAM,Right,186,75,['CM'],90,80,4,87,12,83,4,88,3,78,0,83,1
238794,7,Vini Jr.,24.0,Real Madrid,LALIGA EA SPORTS,Brazil,LW,Right,176,73,"['ST', 'LM']",90,95,0,84,2,81,3,91,1,29,0,69,1
192985,9,Kevin De Bruyne,33.0,Manchester City,Premier League,Belgium,CM,Right,181,75,['CAM'],90,67,-5,87,-1,94,0,87,0,65,0,78,0
202126,11,Harry Kane,31.0,FC Bayern München,Bundesliga,England,ST,Right,188,86,,90,65,-4,93,0,84,0,83,0,49,0,82,-1
222665,12,Martin Ødegaard,25.0,Arsenal,Premier League,Norway,CM,Left,178,68,['CAM'],89,70,-2,82,1,89,1,89,2,67,6,66,2
230621,13,Gianluigi Donnarumma,25.0,Paris SG,Ligue 1 McDonald's,italy,GK,Right,196,90,,89,90,0,84,2,73,-6,90,1,52,0,87,4
212831,15,Alisson,32.0,Liverpool,Premier League,Brazil,GK,Right,193,91,,89,86,0,85,0,85,0,89,0,56,0,90,0
192119,16,Thibaut Courtois,32.0,Real Madrid,LALIGA EA SPORTS,belgium,GK,Left,200,96,,89,85,0,89,0,76,0,90,-3,46,0,88,-2
231478,18,Lautaro Martínez,27.0,Lombardia FC,Serie A Enilive,Argentina,ST,Right,174,72,,89,82,2,88,2,75,4,87,2,54,6,85,0
203376,20,Virgil van Dijk,33.0,Liverpool,Premier League,Holland,CB,Right,193,92,,89,78,0,60,0,71,0,71,-1,89,0,86,0
192448,21,Marc-André ter Stegen,32.0,FC Barcelona,LALIGA EA SPORTS,Germany,GK,Right,187,85,,89,86,0,85,0,89,0,91,0,47,0,86,0
209331,22,Mohamed Salah,32.0,Liverpool,Premier League,egypt,RW,Left,175,72,['RM'],89,89,0,87,0,82,1,88,0,45,0,75,-1
237692,23,Phil Foden,24.0,Manchester City,Premier League,england,RW,Left,171,69,"['LW', 'CAM', 'RM']",88,86,5,86,7,85,3,90,2,57,0,63,3
158023,25,Lionel Messi,37.0,Inter Miami CF,MLS,Argentina,RW,Left,169,67,"['ST', 'CAM', 'RM']",88,79,-1,85,-2,87,-3,92,-2,33,0,64,0
194765,28,Antoine Griezmann,33.0,Atlético de Madrid,LALIGA EA SPORTS,france,ST,Left,176,73,,88,80,0,88,0,87,0,89,1,59,1,75,0
239818,29,Rúben Dias,27.0,Manchester City,Premier League,Portugal,CB,Right,187,82,,88,67,5,39,0,70,4,69,0,89,0,87,0
188545,30,Robert Lewandowski,36.0,FC Barcelona,LALIGA EA SPORTS,poland,ST,Right,185,81,,88,75,0,88,-3,79,-1,86,-1,44,0,84,0
239053,32,Federico Valverde,26.0,Real Madrid,LALIGA EA SPORTS,Uruguay,CM,Right,182,78,['RM'],88,88,0,82,0,84,0,84,0,80,0,84,2
210257,33,Ederson,31.0,Manchester City,Premier League,Brazil,GK,Left,188,86,,88,87,1,82,0,91,0,87,1,64,0,86,0
218667,34,Bernardo Silva,30.0,Manchester City,Premier League,Portugal,CM,Left,173,64,['RW'],88,75,6,78,0,86,0,92,0,71,1,69,0
200389,38,Jan Oblak,31.0,Atlético de Madrid,LALIGA EA SPORTS,slovenia,GK,Right,188,87,,88,85,0,90,0,78,0,87,0,46,0,86,0
205452,40,Antonio Rüdiger,31.0,Real Madrid,LALIGA EA SPORTS,Germany,CB,Right,190,86,,88,82,0,55,1,73,2,70,4,86,2,86,0
256630,42,Florian Wirtz,21.0,Leverkusen,Bundesliga,Germany,CAM,Right,177,71,['LM'],88,81,7,78,2,87,4,89,2,50,-2,67,4
235073,43,Gregor Kobel,26.0,Borussia Dortmund,Bundesliga,Switzerland,GK,Right,195,88,,88,87,1,86,2,73,-1,89,0,44,0,87,2
243715,44,William Saliba,23.0,Arsenal,Premier League,france,CB,Right,193,85,,87,82,0,39,0,70,1,74,1,87,3,83,1
232293,45,Victor Osimhen,25.0,Galatasaray,Trendyol Süper Lig,Nigeria,ST,Right,186,77,,87,89,-1,84,-2,65,-1,81,-2,42,0,82,0
256790,46,Jamal Musiala,21.0,FC Bayern München,Bundesliga,germany,CAM,Right,184,72,"['LM', 'CM']",87,84,-1,81,6,78,2,90,-1,63,0,64,3
246669,47,Bukayo Saka,23.0,Arsenal,Premier League,England,RW,Left,178,65,['RM'],87,85,0,83,2,81,2,88,1,60,0,70,0
211110,49,Paulo Dybala,31.0,AS Roma,Serie A Enilive,argentina,CAM,Left,177,75,['ST'],87,80,0,85,0,84,-1,89,-1,41,1,65,5
232656,50,Theo Hernández,27.0,Milano FC,Serie A Enilive,france,LB,Left,184,81,['LM'],87,95,2,76,5,78,2,84,3,81,3,89,5
190871,52,Neymar Jr,32.0,Al Hilal,ROSHN Saudi League,brazil,LW,Right,175,68,"['CAM', 'LM']",87,85,-1,79,-4,84,-1,92,-1,37,0,60,-1
234378,53,Declan Rice,25.0,Arsenal,Premier League,England,CDM,Right,185,80,['CM'],87,73,2,72,7,82,7,79,2,84,1,85,2
228702,55,Frenkie de Jong,27.0,FC Barcelona,LALIGA EA SPORTS,holland,CM,Right,181,74,['CDM'],87,82,0,69,0,86,0,87,0,77,0,78,0
215698,56,Mike Maignan,29.0,Milano FC,Serie A Enilive,france,GK,Right,191,89,,87,84,-1,83,1,85,-2,88,-1,64,13,84,-1
212198,57,Bruno Fernandes,30.0,Man Utd,Premier League,portugal,CAM,Right,179,69,['CM'],87,70,-1,85,-1,88,-2,83,0,65,-4,75,-2
200104,59,Heung Min Son,32.0,Spurs,Premier League,Korea Republic,ST,Right,183,78,['LM'],87,87,0,89,1,81,1,85,1,42,0,73,3
207865,60,Marquinhos,30.0,Paris SG,Ligue 1 McDonald's,brazil,CB,Right,183,75,,87,79,1,56,0,75,0,74,0,89,0,81,1
237383,61,Alessandro Bastoni,25.0,Lombardia FC,Serie A Enilive,Italy,CB,Left,190,75,,87,75,2,43,8,75,3,76,3,87,1,83,0
186942,62,İlkay Gündoğan,34.0,Manchester City,Premier League,germany,CM,Right,180,80,['CDM'],87,62,0,83,2,85,1,87,1,74,2,73,0
202811,64,Emiliano Martínez,32.0,Aston Villa,Premier League,argentina,GK,Right,195,88,,87,84,1,82,-1,83,1,86,1,56,-2,87,3
224232,65,Nicolò Barella,27.0,Lombardia FC,Serie A Enilive,italy,CM,Right,172,68,['CDM'],87,81,3,78,0,83,1,86,1,80,2,82,2
177683,66,Yann Sommer,35.0,Lombardia FC,Serie A Enilive,Switzerland,GK,Right,183,77,,87,83,5,84,5,85,2,89,-1,50,0,86,2
20801,67,Cristiano Ronaldo,39.0,Al Nassr,ROSHN Saudi League,portugal,ST,Right,187,85,,86,77,0,88,0,77,2,80,0,34,0,77,3
232580,68,Gabriel,26.0,Arsenal,Premier League,brazil,CB,Left,190,87,,86,69,-1,41,0,63,1,61,1,86,1,82,0
199503,69,Granit Xhaka,32.0,Leverkusen,Bundesliga,switzerland,CDM,Left,186,80,['CM'],86,50,1,75,1,85,3,74,1,79,4,82,0
243812,71,Rodrygo,23.0,Real Madrid,LALIGA EA SPORTS,Brazil,RW,Right,174,64,"['ST', 'RM']",86,89,1,81,0,79,0,88,2,31,0,64,2
210514,72,João Cancelo,30.0,Al Hilal,ROSHN Saudi League,Portugal,LB,Right,182,74,"['RB', 'RM']",86,81,0,73,0,85,0,85,1,80,0,72,0
241721,73,Rafael Leão,25.0,Milano FC,Serie A Enilive,portugal,LW,Right,188,81,"['LM', 'ST']",86,94,1,79,-1,80,5,87,0,28,1,77,1
210035,75,Grimaldo,29.0,Leverkusen,Bundesliga,spain,LM,Left,171,68,"['LB', 'LW']",86,74,-13,73,4,88,5,85,1,76,0,71,-1
177003,76,Luka Modrić,39.0,Real Madrid,LALIGA EA SPORTS,Croatia,CM,Right,172,66,"['CAM', 'CDM']",86,72,0,76,0,88,-1,87,0,71,-1,64,-2
239837,78,Alexis Mac Allister,25.0,Liverpool,Premier League,Argentina,CM,Right,176,72,['CDM'],86,69,-1,82,3,85,3,84,2,76,6,76,4
204963,80,Carvajal,32.0,Real Madrid,LALIGA EA SPORTS,Spain,RB,Right,173,73,,86,81,-1,58,4,79,3,81,2,81,4,79,0
231443,82,Ousmane Dembélé,27.0,Paris SG,Ligue 1 McDonald's,France,RW,Left,178,67,"['CAM', 'RM']",86,92,-1,75,-2,82,1,88,1,41,5,57,0
231281,85,Trent Alexander-Arnold,26.0,Liverpool,Premier League,england,RB,Right,180,72,,86,75,-1,72,3,90,0,80,1,80,0,74,1
251854,86,Pedri,21.0,FC Barcelona,LALIGA EA SPORTS,Spain,CM,Right,174,60,['LW'],86,77,-1,69,0,82,0,88,0,70,0,74,0
213331,88,Jonathan Tah,28.0,Leverkusen,Bundesliga,Germany,CB,Right,195,94,,86,71,4,38,1,60,1,62,1,86,5,84,-1
165153,89,Karim Benzema,36.0,Al Ittihad,ROSHN Saudi League,france,ST,Right,185,81,,86,77,-2,85,-3,81,-2,84,-3,38,-1,77,-1
239580,90,Bremer,27.0,Juventus,Serie A Enilive,Brazil,CB,Right,187,84,,86,82,2,50,0,58,2,66,1,86,1,85,2
212622,91,Joshua Kimmich,29.0,FC Bayern München,Bundesliga,germany,RB,Right,177,75,"['CDM', 'CM']",86,69,-1,74,0,88,0,84,0,81,-1,77,-2
230869,93,Unai Simón,27.0,Athletic Club,LALIGA EA SPORTS,Spain,GK,Right,190,89,,86,85,1,81,2,78,1,86,1,49,0,85,1
167495,96,Manuel Neuer,38.0,FC Bayern München,Bundesliga,germany,GK,Right,193,93,,86,83,-1,81,-4,90,0,83,-1,49,0,88,0
208128,99,Hakan Çalhanoğlu,30.0,Lombardia FC,Serie A Enilive,Turkey,CDM,Right,178,69,['CM'],86,71,4,80,0,87,1,85,0,79,9,76,10
247635,100,Khvicha Kvaratskhelia,23.0,SSC Napoli,Serie A Enilive,georgia,LW,Right,183,70,"['RW', 'LM']",85,86,2,79,-1,80,-1,86,-1,41,0,71,0
197445,101,David Alaba,32.0,Real Madrid,LALIGA EA SPORTS,Austria,CB,Left,180,78,['LB'],85,79,0,71,0,83,0,80,0,85,0,77,0
253163,101,Ronald Araujo,25.0,FC Barcelona,LALIGA EA SPORTS,Uruguay,CB,Right,188,79,['RB'],85,82,3,53,2,64,-1,62,0,85,-1,84,0
212194,101,Julian Brandt,28.0,Borussia Dortmund,Bundesliga,germany,CAM,Right,185,83,"['RM', 'CM']",85,71,0,79,-1,85,1,86,0,50,-1,70,0
